CPU,RAM,RAM_Type,GPU,Storage,Screen,Price,Brand
Intel Core i3-1115G4,16GB,DDR4,RTX 3060,512GB,1080p,940,MSI
Intel Core i5-11400H,16GB,DDR4,RTX 2060,256GB,1080p,790,HP
AMD Ryzen 5 5600H,8GB,DDR4,GTX 1660,256GB,1440p,860,HP
Intel Core i9-12900H,16GB,DDR4,RTX 4060,512GB,1080p,1330,Gigabyte
Intel Core i7-12700H,16GB,DDR5,RTX 4070,1TB,1440p,2000,MSI
AMD Ryzen 7 7730U,32GB,DDR5,RTX 3070,512GB,1080p,1360,Dell
AMD Ryzen 7 7730U,16GB,DDR4,RTX 3060,512GB,1080p,1080,Gigabyte
Intel Core i9-13900H,16GB,DDR5,RTX 3050Ti,1TB,1440p,1650,Dell
AMD Ryzen 9 5900HX,16GB,DDR4,RTX 3070,2TB,1440p,1480,Dell
Intel Core i9-11900H,32GB,DDR4,RTX 4050,512GB,1440p,1500,Dell
Intel Core i9-11900H,32GB,DDR4,RTX 2070,1TB,1440p,1530,MSI
AMD Ryzen 9 5900HX,16GB,DDR4,RTX 3070,1TB,4K,1820,ASUS
AMD Ryzen 5 5500U,16GB,DDR4,RTX 3050,256GB,1080p,760,Acer
Intel Core i7-13620H,32GB,DDR4,GTX 1660,256GB,1080p,970,Gigabyte
AMD Ryzen 5 5600H,32GB,DDR4,GTX 1660Ti,512GB,1440p,1160,HP
AMD Ryzen 7 5800H,16GB,DDR4,RTX 3050Ti,256GB,1080p,930,Lenovo
Intel Core i9-13900H,32GB,DDR5,RTX 4090,512GB,4K,3010,ASUS
Intel Core i7-12700H,32GB,DDR4,RTX 3050,512GB,1080p,1140,ASUS
AMD Ryzen 7 7730U,16GB,DDR5,RTX 4050,256GB,1080p,1170,Dell
Intel Core i3-1115G4,8GB,DDR4,Integrated,512GB,1080p,450,HP
Intel Core i7-13620H,16GB,DDR5,RTX 4070,2TB,1080p,1850,MSI
AMD Ryzen 5 5500U,8GB,DDR4,Integrated,256GB,1080p,520,Dell
Intel Core i5-12500H,16GB,DDR4,Integrated,512GB,1440p,780,HP
Intel Core i3-1005G1,8GB,DDR4,RTX 3060,512GB,1080p,770,Dell
AMD Ryzen 3 5300U,8GB,DDR3,Integrated,256GB,1080p,400,Acer
Intel Core i7-11800H,16GB,DDR4,GTX 1660,1TB,1440p,1150,ASUS
Intel Core i5-12500H,8GB,DDR4,RTX 3050,512GB,1440p,840,Dell
Intel Core i5-11400H,16GB,DDR4,GTX 1050Ti,512GB,1080p,660,Acer
AMD Ryzen 5 5600H,16GB,DDR4,RTX 3050Ti,512GB,1080p,970,Lenovo
Intel Core i5-12500H,32GB,DDR4,GTX 1660Ti,256GB,1080p,900,Dell
Intel Core i3-1115G4,8GB,DDR4,RTX 2070,256GB,720p,710,Gigabyte
Intel Core i3-1005G1,16GB,DDR4,GTX 1650,512GB,1080p,600,HP
Intel Core i7-11800H,64GB,DDR4,RTX 3080,1TB,4K,2290,ASUS
Intel Core i5-11400H,8GB,DDR3,GTX 1650,512GB,720p,510,HP
AMD Ryzen 3 5300U,4GB,DDR4,GTX 1660,256GB,720p,450,HP
Intel Core i9-13900H,16GB,DDR5,RTX 4090,512GB,1440p,3210,Alienware
Intel Core i7-13620H,16GB,DDR5,RTX 3060,1TB,1080p,1310,Lenovo
Intel Core i7-13620H,16GB,DDR5,RTX 4060,256GB,1080p,1340,MSI
AMD Ryzen 3 3250U,8GB,DDR4,GTX 1660,256GB,720p,570,Lenovo
Intel Core i3-1115G4,4GB,DDR4,Integrated,512GB,1080p,450,HP
Intel Core i5-12500H,16GB,DDR5,RTX 3050,512GB,1440p,1020,Acer
Intel Core i7-13620H,32GB,DDR5,GTX 1650,512GB,1080p,1180,Lenovo
Intel Core i7-12700H,32GB,DDR4,RTX 4070,2TB,1440p,1820,Gigabyte
AMD Ryzen 5 5500U,16GB,DDR4,GTX 1660,512GB,1080p,780,Dell
AMD Ryzen 5 5500U,16GB,DDR4,RTX 3050Ti,512GB,720p,770,Dell
Intel Core i7-13620H,64GB,DDR5,RTX 3060,512GB,1080p,1740,ASUS
AMD Ryzen 7 5800H,32GB,DDR4,GTX 1650,512GB,1440p,1350,MSI
AMD Ryzen 7 7730U,64GB,DDR4,RTX 4060,512GB,1440p,1600,Dell
AMD Ryzen 9 5900HX,16GB,DDR5,RTX 3050Ti,512GB,1440p,1310,Lenovo
AMD Ryzen 7 7730U,16GB,DDR5,GTX 1650,256GB,1440p,1210,MSI
AMD Ryzen 7 7730U,32GB,DDR5,RTX 3080,1TB,4K,2240,ASUS
AMD Ryzen 3 3250U,16GB,DDR4,RTX 4050,512GB,1080p,950,Gigabyte
AMD Ryzen 3 5300U,4GB,DDR4,GTX 1650,512GB,1080p,630,Lenovo
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 4080,2TB,1080p,2690,Alienware
Intel Core i9-12900H,64GB,DDR5,RTX 4090,1TB,1080p,3000,Alienware
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 3050Ti,512GB,1080p,1350,Gigabyte
AMD Ryzen 3 3250U,8GB,DDR4,RTX 3060,512GB,1080p,730,Dell
Intel Core i9-12900H,64GB,DDR5,RTX 4090,1TB,1440p,2960,MSI
Intel Core i5-11400H,16GB,DDR4,RTX 2060,512GB,720p,700,HP
AMD Ryzen 3 5300U,16GB,DDR4,Integrated,512GB,720p,480,Lenovo
AMD Ryzen 9 7940HS,64GB,DDR5,RTX 3070,512GB,1440p,2360,ASUS
Intel Core i5-10300H,16GB,DDR4,RTX 3050,512GB,1080p,790,Dell
Intel Core i9-11900H,64GB,DDR4,RTX 2060,512GB,1440p,1750,Gigabyte
AMD Ryzen 3 5300U,8GB,DDR4,RTX 3060,1TB,720p,800,ASUS
AMD Ryzen 3 5300U,32GB,DDR4,RTX 2070,512GB,1080p,910,Lenovo
AMD Ryzen 5 5500U,16GB,DDR3,RTX 3060,512GB,720p,840,MSI
Intel Core i7-12700H,32GB,DDR4,RTX 3080,1TB,1080p,1690,MSI
AMD Ryzen 7 5800H,32GB,DDR4,GTX 1660,1TB,1080p,1070,Lenovo
Intel Core i7-13620H,16GB,DDR4,RTX 2060,256GB,1440p,1250,ASUS
Intel Core i7-13620H,64GB,DDR5,RTX 4070,1TB,1080p,2330,ASUS
Intel Core i9-13900H,64GB,DDR4,RTX 4090,1TB,1440p,3140,Alienware
AMD Ryzen 9 5900HX,16GB,DDR4,RTX 2070,1TB,1080p,1190,MSI
Intel Core i9-11900H,16GB,DDR4,RTX 3060,2TB,1440p,1360,Dell
AMD Ryzen 3 5300U,16GB,DDR3,RTX 4050,512GB,1080p,840,MSI
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 3050Ti,512GB,4K,1920,Gigabyte
Intel Core i5-12500H,16GB,DDR4,GTX 1660,256GB,1080p,770,Lenovo
Intel Core i5-12500H,8GB,DDR5,RTX 2060,256GB,1080p,930,Lenovo
Intel Core i5-11400H,32GB,DDR4,GTX 1660Ti,256GB,1080p,790,Acer
AMD Ryzen 3 3250U,16GB,DDR3,RTX 4050,256GB,1080p,690,Lenovo
Intel Core i7-11800H,32GB,DDR3,RTX 2060,512GB,1440p,1110,ASUS
AMD Ryzen 5 5500U,4GB,DDR4,GTX 1660,512GB,1080p,620,Acer
Intel Core i3-1005G1,16GB,DDR4,GTX 1050Ti,256GB,720p,490,Lenovo
Intel Core i7-11800H,8GB,DDR4,RTX 4050,256GB,1440p,1140,Gigabyte
AMD Ryzen 3 5300U,32GB,DDR4,RTX 4050,256GB,1080p,1140,ASUS
Intel Core i5-12500H,16GB,DDR4,RTX 2070,512GB,1440p,1150,Dell
Intel Core i5-11400H,32GB,DDR4,RTX 3050Ti,256GB,1080p,910,Dell
AMD Ryzen 7 5800H,32GB,DDR4,RTX 2070,256GB,1080p,1040,Gigabyte
AMD Ryzen 9 7940HS,64GB,DDR5,RTX 4060,2TB,1440p,2660,ASUS
AMD Ryzen 5 5600H,8GB,DDR4,RTX 2060,256GB,1080p,640,Acer
Intel Core i9-13900H,64GB,DDR5,RTX 4060,1TB,1440p,2360,Dell
Intel Core i5-11400H,32GB,DDR4,RTX 2060,512GB,1080p,860,Acer
Intel Core i7-11800H,16GB,DDR3,GTX 1050Ti,256GB,1440p,820,Lenovo
AMD Ryzen 7 5800H,16GB,DDR4,GTX 1660,256GB,1440p,1020,Gigabyte
AMD Ryzen 5 5600H,16GB,DDR4,RTX 3050Ti,256GB,1080p,950,ASUS
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 3080,1TB,1440p,2430,Alienware
Intel Core i3-1005G1,16GB,DDR4,GTX 1660Ti,512GB,1080p,760,HP
Intel Core i9-13900H,32GB,DDR5,RTX 4060,1TB,4K,2180,Lenovo
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 4060,512GB,1080p,1420,ASUS
Intel Core i5-10300H,4GB,DDR3,Integrated,256GB,1080p,400,Dell
Intel Core i9-12900H,16GB,DDR4,RTX 4050,512GB,4K,1680,Lenovo
Intel Core i5-11400H,16GB,DDR3,GTX 1660,256GB,1080p,520,Acer
AMD Ryzen 7 7730U,64GB,DDR5,RTX 4050,512GB,1080p,1750,ASUS
AMD Ryzen 3 5300U,16GB,DDR4,RTX 3050Ti,1TB,1080p,840,Lenovo
Intel Core i9-13900H,16GB,DDR5,RTX 3050,512GB,1080p,1320,Gigabyte
Intel Core i7-13620H,32GB,DDR5,RTX 3050,512GB,1440p,1440,Lenovo
AMD Ryzen 5 5600H,8GB,DDR4,RTX 3050,512GB,1080p,640,Acer
Intel Core i9-12900H,16GB,DDR4,RTX 4050,1TB,1440p,1550,ASUS
AMD Ryzen 3 5300U,16GB,DDR4,RTX 3050Ti,1TB,1080p,810,Dell
AMD Ryzen 7 7730U,64GB,DDR5,RTX 3080,1TB,1440p,2160,Dell
Intel Core i5-11400H,32GB,DDR3,RTX 2060,512GB,720p,640,Acer
AMD Ryzen 3 3250U,16GB,DDR4,RTX 2060,512GB,1080p,740,Dell
Intel Core i7-12700H,16GB,DDR4,RTX 3050Ti,512GB,1080p,910,Dell
Intel Core i9-11900H,16GB,DDR4,RTX 4050,1TB,1080p,1270,MSI
Intel Core i5-12500H,16GB,DDR4,RTX 2060,256GB,1440p,850,Acer
Intel Core i9-11900H,16GB,DDR4,RTX 3050,2TB,1080p,1120,Lenovo
AMD Ryzen 7 7730U,16GB,DDR5,RTX 3050,512GB,1440p,1320,Lenovo
Intel Core i9-13900H,64GB,DDR5,RTX 2060,2TB,4K,2460,Gigabyte
AMD Ryzen 7 7730U,16GB,DDR5,RTX 4060,1TB,1080p,1610,MSI
Intel Core i9-11900H,32GB,DDR4,RTX 4090,1TB,4K,2900,MSI
Intel Core i7-12700H,32GB,DDR5,RTX 4070,1TB,1440p,2280,MSI
Intel Core i3-1115G4,8GB,DDR4,GTX 1650,256GB,1080p,560,Dell
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 3050,2TB,4K,2140,Lenovo
Intel Core i9-13900H,32GB,DDR5,RTX 3060,512GB,1440p,1780,Dell
Intel Core i5-11400H,8GB,DDR4,Integrated,256GB,720p,430,Dell
Intel Core i7-12700H,16GB,DDR5,RTX 4060,512GB,1080p,1320,Gigabyte
Intel Core i9-12900H,16GB,DDR4,RTX 3050Ti,1TB,1080p,1130,Dell
AMD Ryzen 7 5800H,32GB,DDR4,RTX 2070,512GB,1080p,1240,Gigabyte
AMD Ryzen 9 5900HX,64GB,DDR4,RTX 3080,2TB,1440p,2400,ASUS
AMD Ryzen 5 5500U,8GB,DDR4,RTX 3050,512GB,720p,580,HP
AMD Ryzen 7 7730U,16GB,DDR5,RTX 2070,256GB,1440p,1280,Gigabyte
Intel Core i5-11400H,8GB,DDR3,GTX 1650,128GB,1080p,540,Dell
AMD Ryzen 9 5900HX,16GB,DDR5,RTX 2070,1TB,4K,1850,MSI
AMD Ryzen 5 5600H,8GB,DDR4,GTX 1660Ti,512GB,1080p,680,HP
Intel Core i5-10300H,32GB,DDR4,GTX 1660Ti,512GB,1080p,900,HP
AMD Ryzen 5 5600H,8GB,DDR4,RTX 3050Ti,256GB,1080p,890,ASUS
AMD Ryzen 5 5600H,16GB,DDR4,RTX 3050,512GB,1080p,830,Lenovo
AMD Ryzen 3 5300U,4GB,DDR4,GTX 1650,256GB,1080p,580,HP
Intel Core i3-1005G1,4GB,DDR4,GTX 1650,512GB,1080p,620,Lenovo
AMD Ryzen 3 3250U,32GB,DDR4,RTX 3050,1TB,720p,710,Dell
Intel Core i9-13900H,32GB,DDR5,RTX 4090,512GB,4K,3550,MSI
AMD Ryzen 7 5800H,16GB,DDR4,RTX 3050Ti,512GB,1440p,1250,MSI
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 2060,1TB,1440p,1470,Dell
Intel Core i5-10300H,8GB,DDR4,RTX 3060,1TB,1080p,920,Gigabyte
Intel Core i5-11400H,16GB,DDR3,RTX 2070,512GB,720p,600,Lenovo
Intel Core i7-11800H,8GB,DDR4,RTX 3050Ti,1TB,1080p,1100,MSI
AMD Ryzen 3 3250U,16GB,DDR4,RTX 2070,512GB,720p,710,ASUS
Intel Core i9-11900H,16GB,DDR4,RTX 4050,512GB,1080p,1150,Dell
Intel Core i5-11400H,16GB,DDR4,RTX 3060,512GB,1080p,920,Gigabyte
Intel Core i5-12500H,16GB,DDR5,RTX 3050,256GB,1080p,850,Acer
Intel Core i7-12700H,32GB,DDR5,GTX 1660Ti,256GB,1440p,1500,MSI
Intel Core i3-1115G4,16GB,DDR4,RTX 4050,512GB,720p,800,MSI
Intel Core i5-12500H,16GB,DDR5,RTX 3060,1TB,1080p,1180,MSI
Intel Core i7-13620H,16GB,DDR5,RTX 4070,512GB,1080p,1480,Lenovo
AMD Ryzen 5 5600H,32GB,DDR4,RTX 2070,512GB,1080p,1050,Lenovo
Intel Core i7-13620H,16GB,DDR5,RTX 2070,512GB,1440p,1310,Dell
Intel Core i5-12500H,16GB,DDR5,RTX 2070,1TB,1440p,1320,Dell
Intel Core i9-13900H,32GB,DDR4,RTX 3060,1TB,1440p,1840,ASUS
Intel Core i5-12500H,32GB,DDR5,RTX 4050,1TB,1440p,1690,MSI
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 4090,2TB,4K,3600,Alienware
Intel Core i9-12900H,32GB,DDR4,RTX 3060,1TB,1440p,1410,Dell
AMD Ryzen 7 5800H,32GB,DDR4,RTX 2070,512GB,1080p,1180,Lenovo
Intel Core i7-13620H,32GB,DDR5,RTX 3050,512GB,1440p,1610,MSI
Intel Core i5-10300H,8GB,DDR4,RTX 3050,256GB,1080p,690,HP
Intel Core i3-1115G4,8GB,DDR4,RTX 2060,256GB,1080p,680,Dell
AMD Ryzen 5 5500U,8GB,DDR3,RTX 2070,512GB,720p,580,Dell
Intel Core i5-11400H,32GB,DDR4,RTX 4050,256GB,1080p,1270,MSI
AMD Ryzen 5 5600H,16GB,DDR4,GTX 1660,512GB,1440p,930,Dell
Intel Core i5-10300H,16GB,DDR4,RTX 3050Ti,1TB,1080p,920,Gigabyte
AMD Ryzen 9 7940HS,16GB,DDR5,RTX 3070,1TB,1440p,1760,ASUS
AMD Ryzen 9 7940HS,16GB,DDR5,RTX 3070,1TB,1440p,1830,Dell
AMD Ryzen 7 7730U,64GB,DDR5,GTX 1660,512GB,1080p,1510,Lenovo
AMD Ryzen 5 5600H,32GB,DDR4,RTX 2060,1TB,1440p,1100,Acer
Intel Core i9-12900H,32GB,DDR5,RTX 3050Ti,1TB,1440p,1900,ASUS
AMD Ryzen 9 5900HX,32GB,DDR5,RTX 3050Ti,2TB,1080p,1620,ASUS
AMD Ryzen 3 3250U,8GB,DDR4,GTX 1650,256GB,720p,550,Lenovo
Intel Core i7-11800H,16GB,DDR4,GTX 1660,256GB,1080p,840,ASUS
Intel Core i5-10300H,8GB,DDR3,RTX 2060,512GB,1080p,590,Dell
Intel Core i7-13620H,64GB,DDR5,RTX 4070,512GB,4K,2860,ASUS
AMD Ryzen 5 5600H,32GB,DDR3,RTX 2060,512GB,1080p,850,Dell
Intel Core i3-1005G1,8GB,DDR3,Integrated,512GB,720p,400,Lenovo
AMD Ryzen 7 7730U,64GB,DDR5,RTX 3070,512GB,1440p,2140,Lenovo
Intel Core i9-13900H,16GB,DDR4,RTX 3050Ti,512GB,1080p,1110,ASUS
AMD Ryzen 9 5900HX,16GB,DDR5,RTX 4070,2TB,1440p,2040,ASUS
Intel Core i3-1005G1,16GB,DDR4,RTX 2070,256GB,1080p,870,Lenovo
Intel Core i5-10300H,4GB,DDR4,GTX 1650,128GB,1080p,520,Acer
Intel Core i5-10300H,16GB,DDR4,GTX 1650,256GB,1080p,650,Lenovo
Intel Core i9-13900H,32GB,DDR5,RTX 3080,1TB,4K,2920,Alienware
Intel Core i9-12900H,16GB,DDR4,RTX 2060,1TB,1080p,1140,ASUS
Intel Core i9-12900H,16GB,DDR4,RTX 3070,512GB,4K,1580,Dell
Intel Core i7-11800H,16GB,DDR4,RTX 3080,1TB,4K,1970,Gigabyte
Intel Core i3-1005G1,8GB,DDR4,GTX 1660,128GB,1080p,560,Acer
Intel Core i5-10300H,8GB,DDR4,GTX 1050Ti,128GB,1080p,550,Acer
Intel Core i9-11900H,16GB,DDR3,RTX 4050,1TB,1080p,970,Lenovo
Intel Core i7-13620H,32GB,DDR5,RTX 2070,512GB,1080p,1190,Lenovo
Intel Core i3-1115G4,8GB,DDR4,RTX 4050,256GB,1080p,770,ASUS
Intel Core i3-1115G4,16GB,DDR3,Integrated,256GB,720p,400,Dell
Intel Core i9-13900H,32GB,DDR4,RTX 2060,1TB,4K,1930,Gigabyte
Intel Core i5-12500H,16GB,DDR5,Integrated,512GB,1080p,760,Lenovo
AMD Ryzen 3 5300U,16GB,DDR4,RTX 4050,512GB,1080p,960,ASUS
Intel Core i5-12500H,32GB,DDR5,GTX 1660Ti,512GB,1440p,1260,HP
Intel Core i3-1005G1,16GB,DDR4,RTX 3050Ti,512GB,1080p,890,ASUS
Intel Core i3-1005G1,16GB,DDR3,RTX 4050,256GB,720p,680,ASUS
AMD Ryzen 5 5600H,32GB,DDR4,GTX 1050Ti,512GB,1080p,840,Dell
AMD Ryzen 7 5800H,32GB,DDR4,RTX 3050,512GB,1080p,1130,Gigabyte
Intel Core i7-12700H,32GB,DDR4,GTX 1660Ti,1TB,1440p,1180,Lenovo
Intel Core i7-13620H,16GB,DDR5,RTX 4060,512GB,1080p,1360,ASUS
AMD Ryzen 9 5900HX,16GB,DDR4,RTX 4050,2TB,1080p,1180,Gigabyte
Intel Core i7-12700H,64GB,DDR5,GTX 1660Ti,512GB,1080p,1660,ASUS
AMD Ryzen 3 3250U,8GB,DDR4,GTX 1660Ti,1TB,1080p,770,Dell
Intel Core i9-12900H,32GB,DDR5,RTX 3050,1TB,1440p,1640,Dell
Intel Core i9-12900H,64GB,DDR5,RTX 3050Ti,1TB,1080p,1820,Dell
AMD Ryzen 5 5500U,8GB,DDR4,GTX 1650,128GB,720p,480,Acer
Intel Core i3-1115G4,16GB,DDR3,RTX 2070,256GB,720p,650,ASUS
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 4090,2TB,1440p,2630,Alienware
Intel Core i3-1115G4,8GB,DDR4,GTX 1050Ti,512GB,720p,470,Acer
Intel Core i3-1005G1,8GB,DDR3,RTX 2060,256GB,1080p,590,Lenovo
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 2060,1TB,1080p,1290,ASUS
AMD Ryzen 5 5600H,16GB,DDR3,RTX 2060,512GB,1440p,810,Lenovo
Intel Core i9-12900H,32GB,DDR5,RTX 3050,2TB,4K,2440,ASUS
Intel Core i9-11900H,16GB,DDR3,RTX 4050,512GB,4K,1480,ASUS
Intel Core i3-1005G1,16GB,DDR4,GTX 1050Ti,128GB,1080p,640,Lenovo
Intel Core i7-12700H,32GB,DDR4,RTX 4050,1TB,1440p,1460,Gigabyte
Intel Core i9-12900H,32GB,DDR5,RTX 3050Ti,2TB,4K,2110,ASUS
AMD Ryzen 5 5500U,16GB,DDR3,RTX 3050Ti,512GB,1080p,730,ASUS
Intel Core i3-1115G4,4GB,DDR4,GTX 1050Ti,512GB,1080p,480,Acer
Intel Core i9-12900H,32GB,DDR4,RTX 3050Ti,2TB,1080p,1370,MSI
Intel Core i7-13620H,32GB,DDR5,RTX 3060,256GB,1080p,1340,ASUS
Intel Core i9-12900H,16GB,DDR4,RTX 4090,512GB,1440p,2050,MSI
Intel Core i9-11900H,16GB,DDR4,RTX 3060,2TB,4K,1730,Lenovo
Intel Core i3-1005G1,16GB,DDR4,RTX 3050,512GB,1080p,710,HP
Intel Core i5-11400H,8GB,DDR4,RTX 3060,512GB,720p,810,ASUS
Intel Core i7-12700H,32GB,DDR5,RTX 3070,1TB,1440p,1740,Lenovo
Intel Core i9-11900H,32GB,DDR4,RTX 3070,1TB,1080p,1590,MSI
Intel Core i5-11400H,8GB,DDR3,GTX 1660,512GB,1080p,630,Dell
Intel Core i7-11800H,16GB,DDR3,GTX 1050Ti,256GB,1440p,800,Dell
AMD Ryzen 7 7730U,16GB,DDR5,RTX 3050Ti,1TB,1080p,1110,Dell
AMD Ryzen 9 7940HS,32GB,DDR4,RTX 4090,512GB,4K,2870,MSI
Intel Core i7-11800H,8GB,DDR3,RTX 4050,256GB,1080p,830,Gigabyte
AMD Ryzen 7 5800H,32GB,DDR4,RTX 4070,1TB,4K,1960,Dell
AMD Ryzen 7 7730U,32GB,DDR5,RTX 3060,512GB,1440p,1800,ASUS
Intel Core i3-1005G1,16GB,DDR4,Integrated,256GB,1080p,480,HP
Intel Core i9-12900H,32GB,DDR4,RTX 4080,1TB,1440p,2630,Razer
Intel Core i9-12900H,16GB,DDR4,RTX 4090,2TB,4K,2540,MSI
AMD Ryzen 5 5600H,16GB,DDR4,RTX 2070,256GB,1080p,880,Dell
Intel Core i9-12900H,32GB,DDR4,RTX 4080,1TB,4K,2940,Alienware
Intel Core i9-13900H,32GB,DDR5,RTX 3060,1TB,1440p,2120,ASUS
Intel Core i3-1115G4,16GB,DDR4,RTX 2060,512GB,720p,650,HP
AMD Ryzen 3 5300U,16GB,DDR4,RTX 2070,512GB,720p,810,MSI
Intel Core i5-10300H,8GB,DDR4,GTX 1660,128GB,1080p,540,Acer
AMD Ryzen 5 5500U,16GB,DDR4,RTX 3050,512GB,1080p,840,HP
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 3050Ti,512GB,4K,2080,ASUS
AMD Ryzen 3 5300U,32GB,DDR4,RTX 3060,256GB,720p,960,Gigabyte
Intel Core i7-12700H,32GB,DDR4,RTX 4050,1TB,1440p,1590,ASUS
Intel Core i7-12700H,16GB,DDR4,RTX 3060,256GB,1080p,1040,Lenovo
Intel Core i9-13900H,64GB,DDR5,RTX 4050,512GB,4K,2360,Dell
Intel Core i3-1115G4,8GB,DDR4,RTX 3050Ti,256GB,1080p,810,Gigabyte
AMD Ryzen 5 5600H,32GB,DDR4,RTX 3050,256GB,1080p,840,HP
Intel Core i7-12700H,16GB,DDR5,RTX 3080,512GB,4K,2280,ASUS
AMD Ryzen 3 5300U,16GB,DDR4,RTX 4050,256GB,1080p,890,Lenovo
Intel Core i5-12500H,8GB,DDR4,RTX 2060,1TB,1080p,820,Acer
AMD Ryzen 9 7940HS,16GB,DDR5,RTX 2070,2TB,4K,1840,Dell
AMD Ryzen 9 5900HX,16GB,DDR5,RTX 4080,2TB,1080p,2370,Alienware
AMD Ryzen 9 7940HS,16GB,DDR4,RTX 3070,512GB,1080p,1110,Dell
Intel Core i7-12700H,32GB,DDR4,RTX 2060,256GB,1440p,1310,Gigabyte
Intel Core i7-11800H,32GB,DDR4,RTX 3070,1TB,1440p,1550,MSI
AMD Ryzen 7 7730U,16GB,DDR5,RTX 2060,256GB,1080p,1070,Lenovo
Intel Core i9-11900H,16GB,DDR4,RTX 3060,1TB,1080p,1240,MSI
Intel Core i9-12900H,32GB,DDR5,RTX 4090,1TB,1440p,2800,Razer
Intel Core i3-1005G1,16GB,DDR4,RTX 3060,512GB,1080p,1040,MSI
Intel Core i5-11400H,32GB,DDR4,RTX 4050,512GB,720p,980,ASUS
AMD Ryzen 7 5800H,16GB,DDR4,RTX 3050,512GB,1440p,1360,MSI
Intel Core i5-12500H,8GB,DDR5,RTX 3050,256GB,1080p,880,Dell
Intel Core i5-10300H,32GB,DDR4,RTX 3050,256GB,720p,690,Acer
AMD Ryzen 5 5500U,8GB,DDR4,RTX 3050,256GB,1080p,650,Acer
AMD Ryzen 9 7940HS,16GB,DDR5,RTX 4060,512GB,1440p,1800,Dell
Intel Core i3-1005G1,16GB,DDR3,RTX 3050Ti,256GB,1080p,640,Lenovo
Intel Core i3-1115G4,16GB,DDR4,RTX 2070,256GB,1080p,870,ASUS
AMD Ryzen 7 7730U,16GB,DDR5,RTX 3050,1TB,1080p,1220,MSI
Intel Core i7-11800H,16GB,DDR4,GTX 1660Ti,512GB,1440p,1040,Dell
AMD Ryzen 5 5500U,32GB,DDR4,RTX 2070,512GB,1080p,1110,Lenovo
Intel Core i7-11800H,32GB,DDR4,RTX 3070,256GB,1080p,1140,Lenovo
Intel Core i5-12500H,8GB,DDR4,RTX 2060,256GB,1080p,710,Acer
Intel Core i3-1115G4,8GB,DDR4,RTX 3050Ti,256GB,1080p,740,Lenovo
Intel Core i5-10300H,16GB,DDR4,RTX 2060,512GB,720p,680,Lenovo
Intel Core i7-13620H,32GB,DDR5,GTX 1660Ti,512GB,1440p,1690,ASUS
Intel Core i7-13620H,32GB,DDR5,RTX 3070,256GB,1080p,1450,MSI
Intel Core i7-13620H,16GB,DDR5,GTX 1650,512GB,1080p,1030,Dell
AMD Ryzen 7 5800H,32GB,DDR5,RTX 3050,512GB,1080p,1250,MSI
Intel Core i3-1115G4,8GB,DDR4,Integrated,256GB,720p,400,HP
Intel Core i3-1005G1,8GB,DDR4,GTX 1660,128GB,1080p,550,HP
Intel Core i3-1005G1,16GB,DDR4,RTX 3060,512GB,720p,730,Lenovo
Intel Core i7-13620H,16GB,DDR5,RTX 3050,512GB,1080p,1120,MSI
Intel Core i5-11400H,8GB,DDR3,Integrated,256GB,720p,400,HP
Intel Core i5-12500H,8GB,DDR4,RTX 2060,256GB,1080p,810,Lenovo
Intel Core i3-1005G1,8GB,DDR4,RTX 3050Ti,256GB,720p,630,Dell
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 4060,1TB,1440p,2230,MSI
Intel Core i5-12500H,32GB,DDR4,GTX 1650,256GB,1080p,740,Acer
AMD Ryzen 7 5800H,16GB,DDR4,GTX 1660,512GB,1080p,800,Lenovo
Intel Core i3-1005G1,8GB,DDR4,RTX 3050Ti,1TB,1080p,870,Gigabyte
Intel Core i7-13620H,64GB,DDR4,RTX 3070,256GB,1440p,2110,MSI
Intel Core i7-13620H,32GB,DDR4,RTX 4050,256GB,1080p,1240,Dell
Intel Core i9-13900H,16GB,DDR5,RTX 3050,2TB,1440p,1860,Gigabyte
AMD Ryzen 5 5600H,16GB,DDR4,RTX 2070,512GB,1080p,940,ASUS
Intel Core i9-11900H,32GB,DDR3,RTX 3050Ti,1TB,1080p,1080,Dell
AMD Ryzen 5 5600H,16GB,DDR4,RTX 3060,512GB,1080p,1130,MSI
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 4090,1TB,1440p,3040,Alienware
Intel Core i7-13620H,32GB,DDR5,RTX 2070,512GB,1440p,1710,MSI
Intel Core i9-11900H,64GB,DDR4,RTX 3050Ti,512GB,1440p,1620,Dell
AMD Ryzen 3 5300U,8GB,DDR4,Integrated,128GB,720p,400,HP
AMD Ryzen 5 5600H,32GB,DDR4,RTX 2060,512GB,1080p,920,Acer
